web-scraper-order,web-scraper-start-url,pages,pages-href,ads,ads-href,title,amount,location,Unit Type,Bedrooms,description,size
"1585065810-344","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","one bedroom furnished apartment","https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-furnished-apartment/1490336249","one bedroom furnished apartment","$1,380.00","1053 10 St SW, Calgary, AB T2R 0G3, Canada(View Map)","null","null","cozy furnished one bedroom apartment in a hart of downtown Calgary, COOP grocery is right in your footstep, security 24/7, heated parking , close to train, restaurants and shops and all downtown entertainments. please contact for more infore. tatiana.jiltsova@yahoo.com. cell 403-200-5627 Thx.
short term available as well
laundry in suit, furniture bedding and all dishes","600"
"1585065033-153","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","18","https://www.kijiji.ca/b-apartments-condos/calgary/page-18/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            Looking for basement to rent from April 1st - May 30th, 2020.","https://www.kijiji.ca/v-apartments-condos/calgary/looking-for-basement-to-rent-from-april-1st-may-30th-2020/1487932034","Wanted: Looking for basement to rent from April 1st - May 30th, 2020.","$575.00",", Calgary T2V 0G5 AB, Canada(View Map)","null","null","Its for a family member who is coming to visit for a couple month. He’s very clean, tidy and is living on his own at home. Looking to rent for a maximum of $550/ month on a month to month basis. We will be able to prepay the entire rent for both months.","60"
"1585067788-530","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","South West Apartment For Rent | 1431 37 Street SW","https://www.kijiji.ca/v-apartments-condos/calgary/south-west-apartment-for-rent-1431-37-street-sw/1460810580","South West Apartment For Rent | 1431 37 Street SW","$1,100.00","1431 37 Street SW, Calgary, AB, T3C 1S6(View Map)","null","null","Maggie Manor is located in the SW Calgary residential community of Rosscarrock. The property is across the street from Westbrook Mall and the Westbrook CTrain station. Maggie Manor is located on 37th Street SW between 17th Ave SW and Bow Trail.","450"
"1585065449-257","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","17","https://www.kijiji.ca/b-apartments-condos/calgary/page-17/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Inner City!!  2 Bed / 2 Full Bath - 1 UG PARKING - Sunalta","https://www.kijiji.ca/v-apartments-condos/calgary/inner-city-2-bed-2-full-bath-1-ug-parking-sunalta/1488753983","Inner City!!  2 Bed / 2 Full Bath - 1 UG PARKING - Sunalta","$1,350.00","1540 17 Ave SW #310, Calgary, AB T2T 0C8, Canada(View Map)","null","null","CALL OR TEXT AT 403 863 1980 AND 403 891 3217
SULALTA GEM!! 2 Bedroom and 2 Full Bath, Well appointed unit with laminate and ceramic flooring. In suite laundry, 1 Underground heated Parking.
Here is your opportunity to enjoy a lifestyle where nothing is out of reach. Conveniently located at the corner of 17th Ave and 15th Street SW. Bright unit
with a fantastic view of downtown. Enjoy the proximity inner-city provides to your favorite amenities.
Monthly Rent $ 1350. Available Immediately
Cover Area: 750sq
Fire Safety: Sprinkler system.
Note: Minimum 1 year lease or longer.
Include in Rent: Condo fees, Insurance, Water and Sewer.
Electricity and Heat not Include (roughly $100)
Property Address!
310 - 1540 17 Avenue SW - Calgary","760"
"1585065717-318","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Walk to DT from Edmonton TR & 2nd Ave. N.E. 1 Bedroom basement","https://www.kijiji.ca/v-apartments-condos/calgary/walk-to-dt-from-edmonton-tr-2nd-ave-n-e-1-bedroom-basement/1489905100","Walk to DT from Edmonton TR & 2nd Ave. N.E. 1 Bedroom basement","$860.00","432 2 Avenue, T2E0E6, Calgary, AB(View Map)","null","null","Walk to DT from Edmonton TR & 2nd Ave. N.E. 1 Bedroom basement suite, separate entrance, large windows in every room. No smoking, no pets, Quite, clean, responsible adult. Includes cable, utilities and use of laundry room, street parking, 6 mth lease min. $860/mth plus 1 mth D.D. to view please call and leave a message. Close to shopping, River bike path & buses.","700"
"1585068145-540","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","South West Apartment For Rent | 937 37 Street SW","https://www.kijiji.ca/v-apartments-condos/calgary/south-west-apartment-for-rent-937-37-street-sw/1460810612","South West Apartment For Rent | 937 37 Street SW","$1,325.00","937 37 Street SW, Calgary, AB, T3C 1S4(View Map)","null","null","Westbrook Manor is located across the street from Westbrook Mall and the Westbrook CTrain station. Westbrook Manor is situated along 37th Street SW just off of Bow Trail. The property resides in the residential community of Rosscarrock in SW Calgary.","750"
"1585065975-384","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Legal Basement 2 Bed 1 Den PINERIDGE NE","https://www.kijiji.ca/v-apartments-condos/calgary/legal-basement-2-bed-1-den-pineridge-ne/1491304798","Legal Basement 2 Bed 1 Den PINERIDGE NE","$850.00","Calgary, Canada(View Map)","null","null","Huge 2 bed LEGAL basement with den and living room, separate entrance and laundry. Available immediately. Location in Rundlehorn DR NE east of 52 ST NE. RENT $850 plus 40% utilities, deposit $850 required.
Rundlehorn DR NE
Call or Text 4034040052","1,100"
"1585065290-223","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","19","https://www.kijiji.ca/b-apartments-condos/calgary/page-19/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Killarney 3 bedroom main level for rent","https://www.kijiji.ca/v-apartments-condos/calgary/killarney-3-bedroom-main-level-for-rent/1486281301","Killarney 3 bedroom main level for rent","$1,300.00","T3E0N5, Canada(View Map)","null","null","This is a renovated 3 bedroom main floor suite of a 4 Plex. Contemporary design with new walnut kitchen and a dishwasher, your own newer HE washer and dryer, private deck for BBQing on the front and wood burning fireplace. New tile floors in kitchen, entry & bathroom with soaker tub. Newer carpet in 3 good size bedrooms and a wide open living room dining room kitchen area.","1,080"
"1585065189-195","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","20","https://www.kijiji.ca/b-apartments-condos/calgary/page-20/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Two Bedroom Apartment for Rent in Sunnyside","https://www.kijiji.ca/v-apartments-condos/calgary/two-bedroom-apartment-for-rent-in-sunnyside/1476190042","Two Bedroom Apartment for Rent in Sunnyside","$1,100.00","838 4 Ave NW, Calgary, AB T2N 0M8, Canada(View Map)","null","null","Two bedroom apartment for rent in Sunnyside on the first floor of a ten suite apartment building, approximately 825 square feet. Located one block east of the Sunnyside LRT and walking distance to downtown, Kensington shopping and SAIT. This is a quiet adult building; no pets and no smoking. Rent includes water, heat and one plug-in parking space. Apartment has been fully painted with new carpet and vinyl in the kitchen and bathroom and new light fixtures. No dishwasher. Card-operated laundry facilities in the basement. Security deposit is one month rent.","825"
"1585065760-330","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","TOWNHOUSE, BELTLINE -Large 3 Bdrm, 1700 SF Heritage Building","https://www.kijiji.ca/v-apartments-condos/calgary/townhouse-beltline-large-3-bdrm-1700-sf-heritage-building/1490115559","TOWNHOUSE, BELTLINE -Large 3 Bdrm, 1700 SF Heritage Building","$1,845.00","1215 9 St SW, Calgary, AB T2R 1P9, Canada(View Map)","null","null","PRIME BELTLINE LOCATION - AVAILABLE APRIL 1!","1,700"
"1585065744-326","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","1 Bedroom Executive Condo - Downtown","https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-executive-condo-downtown/1490007653","1 Bedroom Executive Condo - Downtown","$1,500.00","920 5th Avenue S.W., T2P5P6, Calgary, AB(View Map)","null","null","One bedroom downtown condo in one of the most desired condominium buildings in Calgary - Five West. Unit is in excellent condition and has extensive upgrades throughout including: air conditioning, hardwood floors, custom window covering, enhanced millwork package, gourment kitchen with maple cabinets, granite, corner fireplace, stainless steel appliances, in suite washer/dryer, BBQ line, private deck, two closets in bedroom. Amenities include concierge service, fully appointed party room and car wash bay. The unit is located in the heart of downtown and is walking distance to the C-train, Bow River and Kensington. Come see for yourself what sets Five West apart from the rest. Rent includes underground heated parking stall, heat, water and large storage unit.","770"
"1585066054-405","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","AMAZING ONE BEDROOM IN MARK ON 10TH BY ACCLAIMED QUALEX-LANDMARK","https://www.kijiji.ca/v-apartments-condos/calgary/amazing-one-bedroom-in-mark-on-10th-by-acclaimed-qualex-landmark/1491693711","AMAZING ONE BEDROOM IN MARK ON 10TH BY ACCLAIMED QUALEX-LANDMARK","$1,299.00","901 10 Ave SW, Calgary, AB T2R 0B5, Canada(View Map)","null","null","AMAZING ONE BEDROOM UNIT IN MARK ON 10TH BY ACCLAIMED QUALEX-LANDMARK!","450"
"1585065500-269","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","17","https://www.kijiji.ca/b-apartments-condos/calgary/page-17/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            Looking For Short Term Rental Friendly Landlords in Calgary!","https://www.kijiji.ca/v-apartments-condos/calgary/looking-for-short-term-rental-friendly-landlords-in-calgary/1489128747","Wanted: Looking For Short Term Rental Friendly Landlords in Calgary!","Please Contact","3 ave, T2P 0G7, 738 3rd ave sw, AB(View Map)","null","null","We will rent your downtown apartment / condo today, with far better terms than any traditional tenant could offer! We will be the best and last tenant that you'll ever have. Please contact our Senior Leasing Agent Jason Connolly, via email or check us out at Surehomestays.com for more information.","1,234"
"1585065283-221","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","19","https://www.kijiji.ca/b-apartments-condos/calgary/page-19/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Condo - SE Calgary","https://www.kijiji.ca/v-apartments-condos/calgary/condo-se-calgary/1486079598","Condo - SE Calgary","$1,350.00","T2G 5L1, Canada(View Map)","null","null","Mountain view! Clean spacious renovated condo in Copperfield. Rental ready for March 1.
Contact 403-585-7452. Rent is $1350.","800"
"1585068356-547","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Downtown Apartment For Rent | 1122 8 Avenue SW","https://www.kijiji.ca/v-apartments-condos/calgary/downtown-apartment-for-rent-1122-8-avenue-sw/1460810651","Downtown Apartment For Rent | 1122 8 Avenue SW","$1,000.00","1122 8 Avenue SW, Calgary, AB, T2P 3T8(View Map)","null","null","Mainstreet Place is located in the West End of Downtown Calgary. This property has Downtown Calgary apartments for rent that are blocks away from Millenium Park and the popular transportation routes of Bow Trail & 14th Street West.","400"
"1585065778-334","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Prestige Apartments Two-Bedroom Suites for Rent","https://www.kijiji.ca/v-apartments-condos/calgary/prestige-apartments-two-bedroom-suites-for-rent/1463629338","Prestige Apartments Two-Bedroom Suites for Rent","$1,350.00","824 13 Avenue SW, Calgary, AB, T2R 0L2(View Map)","null","null","You wont believe how many conveniences come with living in the heart of Beltline! Transit, bike lanes, and the LRT are close at hand. Get your groceries and errands done by foot. The scenic view from your private balcony tops it off. This spot is an urban dream!

FEATURES AND AMENITIES:","Not Available"
"1585065999-390","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Renovated 1 Bedroom Apartments Off 17th Ave West","https://www.kijiji.ca/v-apartments-condos/calgary/renovated-1-bedroom-apartments-off-17th-ave-west/1414931059","Renovated 1 Bedroom Apartments Off 17th Ave West","$1,050.00","1805 - 17th Street SW, Calgary, AB, T2T 4M3(View Map)","null","null","","Not Available"
"1585065657-301","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","2 Bedroom Executive Condo for Rent with Amazing Views","https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-executive-condo-for-rent-with-amazing-views/1489602137","2 Bedroom Executive Condo for Rent with Amazing Views","$1,750.00","35 Inglewood Park SE, Calgary T2G 1B5 AB(View Map)","null","null","Executive Condos by the Bow river and Pearce Estate park. The SoBow, located in one of the most sought-after neighborhoods of Inglewood. You have the privilege of enjoying the spectacular view from the unit overlooking:
• the Mountain
• Downtown
• Park/Golf course
• Bow river
Unit Features:
• Steel and concrete construction
• Designer hardwood floor and ceramic tile flooring
• Upgraded stainless steel appliances such as stove, dishwasher, fridge, over-the-range microwave
• Visitor parking passes
• In-suite laundry with washer & dryer
• Gas fireplace
• Master Bedroom Ensuite with his & her sink
Building Amenities:
• World Class Health & Fitness Centre
• Shower & steam rooms
• Theatre room
• Social room/games room
• Short walk to unique shops and gourmet restaurant
• 5 min. to downtown core
• Quick access to the Airport
Rent includes:
• Water
• Heat
• Central air-conditioning
• 1 underground secured heated parking
• 1 Storage unit
• 2 CityFit gym memberships
• Building Concierge services
This unit is a must see. Call or send a text message to (403) 399-0688 for viewing. Or email to globalproperties2020@gmail.com for inquiry.
Strictly NO PETS and NO SMOKING. Serious inquiries only.","1,060"
"1585065394-247","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","19","https://www.kijiji.ca/b-apartments-condos/calgary/page-19/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Beautiful Brand New 1 Bedroom  Suites Now Renting In Marda Loop!","https://www.kijiji.ca/v-apartments-condos/calgary/beautiful-brand-new-1-bedroom-suites-now-renting-in-marda-loop/1487401967","Beautiful Brand New 1 Bedroom  Suites Now Renting In Marda Loop!","$1,499.00","2107 34 Ave SW, Calgary, AB T2T 2C5, Canada(View Map)","null","null","INCENTIVES
TELUS gigabit internet for a year*
Select 1 bedroom suites available for $1499.00, for move in's on or before March 1st 2020.*
Book a personal tour or Join Us at our OPEN HOUSE on Monday's from 12:00PM-4:00PM
Phone: (403) 234-1765
Leasing Office hours:
Monday: OPEN HOUSE 12PM-4PM
Tuesday: 10:30 am – 7:00 pm
Wednesday: 9:30 am – 6:00 pm
Thursday: 10:30 am – 7:00 pm
Friday: 9:30 am – 6:00 pm
Saturday: 9:30 am – 6:00 pm
Holidays: Closed","536"
"1585066479-476","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","11","https://www.kijiji.ca/b-apartments-condos/calgary/page-11/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","ONE BEDROOM - DOWNTOWN - PET FRIENDLY -LONG/SHORT/MONTH TO MONTH","https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-downtown-pet-friendly-long-short-month-to-month/1492456445","ONE BEDROOM - DOWNTOWN - PET FRIENDLY -LONG/SHORT/MONTH TO MONTH","$1,275.00","1411 7 St SW, Calgary, AB T2R 0N1, Canada(View Map)","null","null","Location
• Close to Downtown
• 1411 7th Street close to 17th Avenue
• 2nd Floor","600"
"1585066440-467","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","11","https://www.kijiji.ca/b-apartments-condos/calgary/page-11/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Beautiful Bach Suite in Hist Home! Util, WiFi Incld! CAT OK!","https://www.kijiji.ca/v-apartments-condos/calgary/beautiful-bach-suite-in-hist-home-util-wifi-incld-cat-ok/1492330103","Beautiful Bach Suite in Hist Home! Util, WiFi Incld! CAT OK!","$1,250.00","2211 16A St SW, T2T 0N2, Calgary, AB(View Map)","null","null","Beautiful second floor bachelor suite of historic home in Bankview. Full kitchen including stove & fridge has been recently updated. Full bathroom with shower. Coin operated washer/dryer on-site.","500"
"1585065848-354","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Bright and Spacious Condo for rent in Lower Mount Royal","https://www.kijiji.ca/v-apartments-condos/calgary/bright-and-spacious-condo-for-rent-in-lower-mount-royal/1490418287","Bright and Spacious Condo for rent in Lower Mount Royal","$1,425.00",", calgary T2T0L2 AB, Canada(View Map)","null","null","This 1000 sq ft unit is in a quiet and well kept building with only 24 units.
The building is conveniently located in the established neighborhood of Lower Mount Royal and only a 5 minute walk from public transit, restaurants and shops
2 balconies! I very large one with a city view for entertaining
- 20 minute walk to downtown. (5 minute bus ride)
- Heat , water and a generous cable TV package are included
- Underground parking space.
- This unit is ideal for one person that likes to work from home.
- A very large 14' x 14' bedroom with walk-in closets and with an ensuite bathroom and window seat!
- 1 den off of the kitchen with adjoining balcony
- Utility room with full laundry and storage
- Large balcony off of a large dining/ living space
- Extra bathroom with a bathtub/shower
-","1,000"
